,Player,Team,Pos,GP,W%,K,D,A,KDA,KP,DTH%,FB%,GD10,XPD10,CS-D10,CSPM
0,Adrian,Echo Fox,Support,16,69%,7,38,151,4.2,74.5%,21.6%,6%,-178,-123,2.1,1.8
1,Akaadian,OpTic Gaming,Jungle,18,28%,21,33,84,3.2,68.2%,16.7%,50%,75,81,0.7,4.9
2,Altec,Echo Fox,ADC,19,63%,70,41,110,4.4,74.1%,19.3%,11%,-152,-86,-4.0,9.9
3,AnDa,FlyQuest,Jungle,16,38%,17,39,99,3.0,79.5%,21.2%,25%,-80,-197,-4.6,5.1
4,aphromoo,100 Thieves,Support,19,68%,9,40,131,3.5,72.9%,25.8%,32%,46,73,1.8,1.6
5,Apollo,Clutch Gaming,ADC,20,55%,45,31,84,4.2,75.4%,20.7%,0%,-76,-72,-0.5,9.8
6,Arrow,OpTic Gaming,ADC,18,28%,44,31,66,3.5,71.4%,15.7%,33%,-79,15,-5.5,9.3
7,Biofrost,Counter Logic Gaming,Support,18,39%,9,45,138,3.3,78.2%,21.2%,22%,15,-28,-1.2,1.7
8,Bjergsen,Team SoloMid,Middle,20,65%,72,20,98,8.5,77.6%,13.0%,25%,107,227,5.8,10.2
9,Cody Sun,100 Thieves,ADC,19,68%,79,20,85,8.2,85.4%,12.9%,32%,40,126,-0.2,10.2
10,Contractz,Golden Guardians,Jungle,18,22%,27,56,86,2.0,72.4%,25.6%,28%,-211,-195,-3.8,4.9
11,Damonte,Echo Fox,Middle,3,33%,8,6,14,3.7,71.0%,16.7%,33%,73,-74,5.7,9.0
12,Dardoch,Echo Fox,Jungle,19,63%,39,38,139,4.7,73.3%,17.9%,47%,152,107,1.4,5.0
13,Darshan,Counter Logic Gaming,Top,18,39%,37,42,88,3.0,66.5%,19.8%,44%,10,55,2.6,8.2
14,Deftly,Golden Guardians,ADC,18,22%,49,36,64,3.1,72.4%,16.4%,17%,-1,29,0.8,10.0
15,Dhokla,OpTic Gaming,Top,6,33%,5,18,22,1.5,55.1%,27.7%,17%,-270,-174,-15.8,8.3
16,Doublelift,Team Liquid,ADC,20,60%,60,22,83,6.5,75.3%,13.3%,20%,30,-4,3.6,10.5
17,Febiven,Clutch Gaming,Middle,20,55%,64,18,67,7.3,76.6%,12.0%,15%,-42,85,5.3,9.9
18,Fenix,Echo Fox,Middle,16,69%,65,26,83,5.7,69.8%,14.8%,13%,274,185,7.9,9.8
19,Flame,FlyQuest,Top,18,33%,33,31,81,3.7,73.1%,14.3%,22%,177,66,5.3,9.0
20,Fly,FlyQuest,Middle,12,33%,22,29,60,2.8,75.9%,22.5%,33%,-107,-70,-4.8,8.4
21,Hai,Golden Guardians,Middle,18,22%,34,52,87,2.3,77.6%,23.7%,17%,-320,-230,-8.7,9.0
22,Hakuho,Clutch Gaming,Support,20,55%,12,32,123,4.2,78.9%,21.3%,5%,3,56,-0.6,1.6
23,Hauntzer,Team SoloMid,Top,20,65%,49,43,94,3.3,65.3%,27.9%,20%,128,26,1.6,9.6
24,huhi,Counter Logic Gaming,Middle,18,39%,51,42,98,3.5,79.3%,19.8%,39%,-52,-149,-4.3,9.3
25,Huni,Echo Fox,Top,19,63%,52,54,113,3.1,67.9%,25.5%,21%,322,244,8.2,9.8
26,Impact,Team Liquid,Top,20,60%,38,35,89,3.6,66.8%,21.1%,30%,34,40,-1.7,8.5
27,JayJ,FlyQuest,Support,2,0%,1,6,6,1.2,70.0%,26.1%,100%,-7,97,-6.5,1.0
28,Jensen,Cloud9,Middle,20,60%,69,24,100,7.0,75.8%,11.5%,40%,106,110,2.5,10.3
29,Keane,FlyQuest,Middle,6,33%,14,20,25,2.0,81.3%,22.7%,0%,-79,6,-1.0,9.3
30,LemonNation,OpTic Gaming,Support,18,28%,8,49,93,2.1,65.6%,24.7%,28%,41,-7,-0.3,1.6
31,Licorice,Cloud9,Top,20,60%,57,49,83,2.9,62.8%,23.4%,20%,107,97,4.6,9.2
32,LirA,Clutch Gaming,Jungle,20,55%,22,34,96,3.5,69.0%,22.7%,20%,-267,-102,0.4,5.4
33,Lourlo,Golden Guardians,Top,18,22%,34,29,69,3.6,66.0%,13.2%,6%,-157,-88,-1.2,9.0
34,Matt,Golden Guardians,Support,18,22%,12,46,110,2.7,78.2%,21.0%,22%,-13,-92,-3.7,1.6
35,Meteos,100 Thieves,Jungle,19,68%,24,30,122,4.9,76.0%,19.4%,63%,83,55,0.2,5.0
36,MikeYeung,Team SoloMid,Jungle,20,65%,27,38,132,4.2,72.6%,24.7%,50%,48,-16,0.2,5.0
37,Mithy,Team SoloMid,Support,20,65%,13,35,138,4.3,68.9%,22.7%,35%,-32,-101,4.4,2.0
38,Olleh,Team Liquid,Support,20,60%,13,37,124,3.7,72.1%,22.3%,25%,-9,5,1.8,1.9
39,PapaChau,Echo Fox,Support,3,33%,2,9,22,2.7,77.4%,25.0%,33%,-115,-321,-8.0,1.1
40,Pobelter,Team Liquid,Middle,20,60%,56,37,87,3.9,75.3%,22.3%,30%,-2,-44,0.4,10.6
41,PowerOfEvil,OpTic Gaming,Middle,18,28%,67,32,58,3.9,81.2%,16.2%,44%,21,-93,-3.8,10.1
42,Reignover,Counter Logic Gaming,Jungle,18,39%,18,43,120,3.2,73.4%,20.3%,61%,105,159,1.7,4.9
43,Ryu,100 Thieves,Middle,19,68%,43,32,89,4.1,68.8%,20.6%,21%,5,-53,-2.9,9.3
44,Shrimp,FlyQuest,Jungle,2,0%,1,10,5,0.6,60.0%,30.3%,0%,-307,-219,-4.5,4.5
45,Smoothie,Cloud9,Support,20,60%,12,46,157,3.7,75.8%,22.0%,30%,73,87,0.4,1.3
46,Sneaky,Cloud9,ADC,20,60%,52,37,105,4.2,70.4%,17.7%,15%,102,55,2.0,10.2
47,Solo,Clutch Gaming,Top,20,55%,28,35,69,2.8,56.7%,23.3%,10%,-187,-190,-5.9,8.9
48,Ssumday,100 Thieves,Top,19,68%,37,33,93,3.9,67.7%,21.3%,42%,-148,-26,-1.9,8.7
49,Stixxay,Counter Logic Gaming,ADC,18,39%,73,40,66,3.5,73.9%,18.9%,22%,119,19,4.7,10.0
50,Stunt,FlyQuest,Support,16,38%,10,45,110,2.7,82.2%,23.2%,13%,53,167,-3.3,1.8
51,Svenskeren,Cloud9,Jungle,20,60%,33,53,135,3.2,75.3%,25.4%,40%,153,132,3.1,5.3
52,WILDTURTLE,FlyQuest,ADC,18,33%,58,37,64,3.3,78.2%,17.1%,17%,-84,-131,-3.3,10.4
53,Xmithie,Team Liquid,Jungle,20,60%,23,35,116,4.0,73.2%,21.1%,55%,-34,-29,0.3,5.8
54,zig,OpTic Gaming,Top,12,25%,9,35,37,1.3,43.8%,26.3%,25%,-318,-263,-9.8,6.9
55,Zven,Team SoloMid,ADC,20,65%,58,18,101,8.8,72.6%,11.7%,20%,92,44,1.9,10.1
